Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,70.93,91.51,62.73,129.6,106.89,70.82,125.54,100.46,110.45,97.21,68.77,95.35,111.7,71.74,126.51,103,52.1,90.58,75.76,104.57,114.44,123.54
Feb,110.86,111.89,36.69,58.47,50.36,110.3,86.81,101.05,142.42,70.65,60.99,109.95,41.18,44.23,85.84,73.38,49.19,86.15,90.4,60.43,80.02,80.17
Mar,46.95,61.59,36.5,91.7,94.76,37.47,28.18,62.17,146.64,113.45,65.92,43.23,45.78,65.24,71.31,59.23,57.01,52.76,79.74,47.56,59.87,120.64
Apr,26.78,21.81,10.31,65.62,18.89,13.8,24.73,41.01,38.38,18.74,20.09,40.55,27.8,10.62,25.71,9.51,21.13,24.17,19.46,39.35,41.63,
May,15.41,32.31,17.26,10.83,22.24,7.86,18.55,30.81,15.82,16.7,34.7,21.83,22.75,42.8,15.06,8.92,15.99,18.62,18.16,41.23,7.85,
Jun,20.65,20.42,43.89,12.38,37.35,22.27,22.55,11.51,20.15,24.97,30.3,16.06,20.11,50.89,8.76,17.21,16.91,10.85,26.29,18.03,28.67,
Jul,14.66,17.25,24.23,24.93,12.5,23.54,14.72,35.45,20.3,19.36,18.98,14.66,15.99,35.17,12.98,10.97,10.45,12.58,21.83,23.49,21.11,
Aug,26.56,14.97,21.33,7.1,13.5,12.56,10.99,28.23,16.05,8.83,11.58,15.01,17.11,27.25,14.4,14.08,8.71,20.42,11.31,25.18,9.49,
Sep,11.01,14.05,18.76,12.25,8,18.42,14.81,46.75,12.82,9.79,13.75,12.34,6.24,46.96,10.81,5.24,6.72,16.3,14.25,34.66,4.93,
Oct,18.86,14.94,36.62,10.38,15.97,13.75,12.9,55.27,36.05,10.3,11.77,9.58,11.08,19.91,36.79,25.44,8.46,32.27,26.23,62.43,8.22,
Nov,27.75,32.98,35.85,17.89,38.62,62.38,28.72,60.67,62.29,32.01,42.9,26.6,34.28,23.81,40.8,37.76,12.62,18.88,75.42,60.86,46.32,
Dec,79.49,57.86,50.13,40.91,76.57,78.25,64.19,110.32,75.33,49.83,42.86,68.22,82.72,93.47,45.47,41.11,16.42,103.01,48.89,71.46,49.49,
